ticker,datetime,close_price,event_code,window_suggested,date
LPSN,2021-12-06 09:00:20.859284,33.99,E10_FirstGreenBounce,"[-3,+3]",2021-12-06
GRIL,2021-12-06 09:02:21.285073,0.9885,E10_FirstGreenBounce,"[-3,+3]",2021-12-06
DCTH,2021-12-06 09:05:37.347343,7.8499,E10_FirstGreenBounce,"[-3,+3]",2021-12-06
CGNT,2021-12-06 10:50:51.083425,19.63,E10_FirstGreenBounce,"[-3,+3]",2021-12-06
EOLS,2021-12-06 13:02:47.105161,5.3301,E10_FirstGreenBounce,"[-3,+3]",2021-12-06
EYPT,2021-12-06 13:58:00.809458,13.75,E10_FirstGreenBounce,"[-3,+3]",2021-12-06
SND,2021-12-06 14:02:25.476303,1.85,E10_FirstGreenBounce,"[-3,+3]",2021-12-06
IDT,2021-12-06 14:30:01.246620,47.29,E10_FirstGreenBounce,"[-3,+3]",2021-12-06
NSSC,2021-12-06 14:30:01.375882,46.09,E10_FirstGreenBounce,"[-3,+3]",2021-12-06
BIMI,2021-12-07 00:12:36.841911,0.735,E10_FirstGreenBounce,"[-3,+3]",2021-12-07
TACT,2021-12-07 13:03:12.903075,9.99,E10_FirstGreenBounce,"[-3,+3]",2021-12-07
CRD.A,2021-12-08 00:00:00.004555,7.53,E10_FirstGreenBounce,"[-3,+3]",2021-12-08
USNA,2021-12-08 00:00:00.006637,100.55,E10_FirstGreenBounce,"[-3,+3]",2021-12-08
TWIN,2021-12-09 14:30:00.780961,12.27,E10_FirstGreenBounce,"[-3,+3]",2021-12-09
OSS,2021-12-10 09:55:41.069641,4.64,E10_FirstGreenBounce,"[-3,+3]",2021-12-10
QDEL,2021-12-13 09:00:00.336745,134.01,E10_FirstGreenBounce,"[-3,+3]",2021-12-13
EOLS,2021-12-13 12:00:00.044377,5.7,E10_FirstGreenBounce,"[-3,+3]",2021-12-13
MGPI,2021-12-13 13:58:00.091545,83.045,E10_FirstGreenBounce,"[-3,+3]",2021-12-13
IDT,2021-12-13 14:30:01.134894,44.28,E10_FirstGreenBounce,"[-3,+3]",2021-12-13
SBNY,2021-12-14 12:01:20.966388,293.86,E10_FirstGreenBounce,"[-3,+3]",2021-12-14
EYPT,2021-12-14 14:30:01.550092,14.5,E10_FirstGreenBounce,"[-3,+3]",2021-12-14
ITRM,2021-12-15 00:04:56.791621,0.476,E10_FirstGreenBounce,"[-3,+3]",2021-12-15
LPSN,2021-12-15 09:03:16.721152,35.16,E10_FirstGreenBounce,"[-3,+3]",2021-12-15
EIGR,2021-12-15 13:00:23.049315,5.18,E10_FirstGreenBounce,"[-3,+3]",2021-12-15
RCMT,2021-12-15 14:29:47.005194,6.145,E10_FirstGreenBounce,"[-3,+3]",2021-12-15
DCTH,2021-12-15 14:30:01.670946,8.0,E10_FirstGreenBounce,"[-3,+3]",2021-12-15
SND,2021-12-15 14:30:01.975228,1.8,E10_FirstGreenBounce,"[-3,+3]",2021-12-15
VAXX,2021-12-17 00:10:43.716276,6.15,E10_FirstGreenBounce,"[-3,+3]",2021-12-17
TWIN,2021-12-17 14:30:01.327050,10.51,E10_FirstGreenBounce,"[-3,+3]",2021-12-17
AGM,2021-12-20 09:32:41.123985,112.74,E10_FirstGreenBounce,"[-3,+3]",2021-12-20
IDT,2021-12-21 00:00:00.007902,42.18,E10_FirstGreenBounce,"[-3,+3]",2021-12-21
EYPT,2021-12-21 12:02:14.719503,13.53,E10_FirstGreenBounce,"[-3,+3]",2021-12-21
TNXP,2021-12-22 00:05:54.554559,0.3889,E10_FirstGreenBounce,"[-3,+3]",2021-12-22
ALF,2021-12-22 00:08:33.990403,2.48,E10_FirstGreenBounce,"[-3,+3]",2021-12-22
NSSC,2021-12-22 14:30:00.613630,48.11,E10_FirstGreenBounce,"[-3,+3]",2021-12-22
SLGL,2021-12-23 14:30:01.105455,6.7499,E10_FirstGreenBounce,"[-3,+3]",2021-12-23
CGNT,2021-12-27 11:42:49.779295,15.0,E10_FirstGreenBounce,"[-3,+3]",2021-12-27
NAII,2021-12-28 14:30:00.584890,12.6,E10_FirstGreenBounce,"[-3,+3]",2021-12-28
QDEL,2021-12-29 00:02:47.345045,128.7,E10_FirstGreenBounce,"[-3,+3]",2021-12-29
BIMI,2021-12-30 00:08:44.374053,0.5,E10_FirstGreenBounce,"[-3,+3]",2021-12-30
LPSN,2021-12-30 09:52:47.496467,35.86,E10_FirstGreenBounce,"[-3,+3]",2021-12-30
VAXX,2021-12-30 10:14:03.831206,5.441,E10_FirstGreenBounce,"[-3,+3]",2021-12-30
GRIL,2021-12-30 12:10:29.965065,0.7101,E10_FirstGreenBounce,"[-3,+3]",2021-12-30
EOLS,2021-12-30 14:25:00.084801,6.61,E10_FirstGreenBounce,"[-3,+3]",2021-12-30
EYPT,2021-12-30 14:25:00.109729,12.28,E10_FirstGreenBounce,"[-3,+3]",2021-12-30
SBNY,2021-12-31 00:24:35.003331,319.7,E10_FirstGreenBounce,"[-3,+3]",2021-12-31
DCTH,2021-12-31 13:55:42.022379,7.37,E10_FirstGreenBounce,"[-3,+3]",2021-12-31
ATRC,2021-12-31 14:30:00.002263,67.985,E10_FirstGreenBounce,"[-3,+3]",2021-12-31
NSSC,2021-12-31 14:30:00.861697,48.995,E10_FirstGreenBounce,"[-3,+3]",2021-12-31
TNXP,2022-01-03 09:00:00.043702,0.395,E10_FirstGreenBounce,"[-3,+3]",2022-01-03
ITRM,2022-01-03 09:07:29.810743,0.4167,E10_FirstGreenBounce,"[-3,+3]",2022-01-03
WOW,2022-01-04 00:00:00.002319,21.48,E10_FirstGreenBounce,"[-3,+3]",2022-01-04
AGM,2022-01-04 00:00:00.007031,124.55,E10_FirstGreenBounce,"[-3,+3]",2022-01-04
SND,2022-01-04 13:58:17.906026,2.03,E10_FirstGreenBounce,"[-3,+3]",2022-01-04
MGPI,2022-01-04 14:30:02.062273,83.905,E10_FirstGreenBounce,"[-3,+3]",2022-01-04
LPSN,2022-01-05 09:00:31.950050,33.77,E10_FirstGreenBounce,"[-3,+3]",2022-01-05
QDEL,2022-01-06 00:05:48.791365,125.18,E10_FirstGreenBounce,"[-3,+3]",2022-01-06
NSSC,2022-01-06 00:25:08.920936,22.0001,E10_FirstGreenBounce,"[-3,+3]",2022-01-06
PRFT,2022-01-06 12:00:27.350380,116.0,E10_FirstGreenBounce,"[-3,+3]",2022-01-06
CGNT,2022-01-06 14:29:59.995767,14.7,E10_FirstGreenBounce,"[-3,+3]",2022-01-06
DCTH,2022-01-06 14:30:01.361983,7.09,E10_FirstGreenBounce,"[-3,+3]",2022-01-06
BIMI,2022-01-07 00:56:43.452771,0.473,E10_FirstGreenBounce,"[-3,+3]",2022-01-07
EOLS,2022-01-07 09:53:16.903899,6.12,E10_FirstGreenBounce,"[-3,+3]",2022-01-07
OSS,2022-01-07 13:39:54.476041,4.77,E10_FirstGreenBounce,"[-3,+3]",2022-01-07
TNXP,2022-01-08 00:09:13.147009,0.344,E10_FirstGreenBounce,"[-3,+3]",2022-01-08
ATRC,2022-01-10 14:30:00.165810,61.64,E10_FirstGreenBounce,"[-3,+3]",2022-01-10
