ticker,trading_day,rvol30,pctchg_d,dollar_vol_d,close_d,vol_d,vwap_d
BEAT,2009-07-13,5.470708976459064,-0.3299319727891157,68893162.72279994,5.91,11714877.0,5.880826808749246
FMBI,2009-07-13,2.001881823089615,0.18660287081339733,6569105.1482000025,7.44,912456.0,7.199366488027919
EXM,2009-07-14,2.2617167016433286,0.17499999999999982,28697682.772199985,7.52,4109120.0,6.98389990367767
FOE,2009-07-15,2.9010377809101913,0.26315789473684226,5166018.065799997,2.88,1954076.0,2.643713993621536
GCI,2009-07-15,4.797011287568898,0.2760563380281691,101816949.61469994,4.53,23460525.0,4.33992630662357
CIT,2009-07-16,10.269736383987578,-0.6951219512195121,191182968.30640012,0.5,439859777.0,0.4346452626569674
BCRX,2009-07-17,10.013692906948366,0.3448275862068966,49516626.51880002,5.85,8276180.0,5.9830291896503
CIT,2009-07-17,7.950080461666265,0.3600000000000001,321640770.0546999,0.68,458310770.0,0.7017962289096978
GROW,2009-07-17,5.950141778987121,0.32499999999999996,13129223.665400015,11.66,1211958.0,10.833068196587684
WL,2009-07-17,5.701735755760305,-0.1931464174454829,54039480.839800015,10.36,4984465.0,10.841580960002732
CIT,2009-07-20,5.057028804223657,0.9705882352941175,452158298.0354995,1.34,348897996.0,1.2959612930407876
INFN,2009-07-20,6.090142291504656,-0.1777777777777777,25139731.5441,7.4,3419757.0,7.351321027809871
UTA,2009-07-20,2.476899461609571,0.2012987012987013,8081283.932200001,11.1,780777.0,10.350309924856907
BCRX,2009-07-21,5.145195549340785,0.21682847896440127,39411468.160000004,7.52,5405131.0,7.291491762179308
CIT,2009-07-21,3.183744933324934,-0.29850746268656725,248225680.1338002,0.94,244880844.0,1.013659035468696
Hw,2009-07-21,2.870407934904859,-0.19999999999999996,6287005.398400002,3.0,2000881.0,3.142118595958481
LXK,2009-07-21,6.872412430020895,-0.1889007470651014,294964638.7179998,15.2,19442868.0,15.170839956224556
MEG,2009-07-22,14.879058420103975,0.8326693227091633,16850641.369799998,4.6,3809095.0,4.4237913125821215
AF,2009-07-23,2.150185519680545,0.15012106537530268,31544741.472999975,9.5,3505126.0,8.999602716992193
COHU,2009-07-23,4.447660994393934,0.19428571428571417,6772686.082099997,12.54,537426.0,12.602081183455951
FOE,2009-07-23,2.0765828079609445,0.15974440894568698,5522096.031599999,3.63,1549493.0,3.5638083112347068
SKX,2009-07-23,4.557558445356364,0.1529020900999183,36296579.18100002,4.65,7935675.0,4.573849002258789
SPAR,2009-07-23,4.298142488187026,-0.22807017543859653,20882485.601500005,7.92,2536424.0,8.233042110270208
